BILLING_ADDRESS,BILLING_ADDRESS_CITY_STATE_ZIP,AGENT_ENTITY,AGENT_FIRST_NAME,AGENT_LAST_NAME,AGENT_MIDDLE_NAME,AGENT_PHONE,SITE_ADDRESS,BBL_CITY_STATE_ZIP,BILLING_NAME,CUSTOMER_NUMBER,DC_ADDR_FLAG,LICENSECATEGORY,ENTITY_NAME,FIRST_NAME,LAST_NAME,DCS_ADD_DATE,LICENSE_END_DATE,LICENSE_ISSUE_DATE,LICENSE_START_DATE,LICENSE_CATEGORY_TEXT,LICENSE_CATEGORY_CODE,LICENSESTATUS,PHONE_NUMBER,CITY,STATE,ZIP,BBL_LICENSE_FACT_ID,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,MAINSTREET,DCS_LAST_MOD_DTTM,GLOBALID,OBJECTID
,1369 New York Ave NE Washington DC 20002 ,Cullen Gilchrist,,,,,538 3RD ST NE ,WASHINGTON DC 20002,UK 3rd,930824000001,Y,Grocery Store,UK 3rd,,,,2027/10/31 04:00:00+00,2023/11/16 05:00:00+00,2023/11/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20002,551011344,38.89719546,-77.00220952,399808.33,136593.94,,9536,6,ANC 6C,6C04,FIRST,104,Cluster 25,,,2026/04/03 08:30:23+00,{4E8BF189-5A71-6B09-E063-782F520A8A93},393280610
,539 8TH STREET NE WASHINGTON DC 20002 ,"CHRISTOPHER A TERAS, ESQUIRE",,,,2023281000,539 8TH ST NE ,WASHINGTON DC 20002,"MOCHI, INC.",66002012,Y,Grocery Store,"MOCHI, INC.",,,,2028/02/28 05:00:00+00,2026/01/22 05:00:00+00,2026/03/01 05:00:00+00,Public Health Food Establish,9308,Active,2025430488,WASHINGTON,DC,20002,550999373,38.89717158,-76.99471407,400458.54,136591.3,,295087,6,ANC 6A,6A03,FIRST,104,Cluster 25,,,2026/04/03 08:30:22+00,{4E8BF186-8334-6B09-E063-782F520A8A93},393094437
,5415 GEORGIA AVENUE  WASHINGTON DC 20011 ,DANIEL ADGEH,,,,,5415 GEORGIA AVE NW ,WASHINGTON DC 20011,yd progress,930824000009,Y,Grocery Store,yd progress,,,,2028/01/31 05:00:00+00,2026/01/23 05:00:00+00,2026/02/01 05:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20011,551004079,38.9556751,-77.02769677,397599.35,143086.08,,254613,4,ANC 4D,4D03,FOURTH,403,Cluster 18,,,2026/04/03 08:30:23+00,{4E8BF186-9266-6B09-E063-782F520A8A93},393098327
,5421 GEORIGA AVENUE  WASHINGTON DC 20011 ,MEKONNEN ESHETE,,,,,5421 GEORGIA AVE NW ,WASHINGTON DC 20011,DAMOTE INC.,930823000030,Y,Grocery Store,DAMOTE INC.,,,,2027/07/31 04:00:00+00,2025/07/16 04:00:00+00,2025/08/01 04:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20011,551032864,38.95582409,-77.02771206,397598.03,143102.62,,254615,4,ANC 4D,4D03,FOURTH,403,Cluster 18,,,2026/04/03 08:30:25+00,{4E8BF186-F4AA-6B09-E063-782F520A8A93},393123483
,5425 5th STREET N.W. WASHINGTON DC 20011 ,ADANECH GEBREMESKEL,,,,,5425 5TH ST NW ,WASHINGTON DC 20011,RNH CONVENIENCE LLC.,930826000004,Y,Grocery Store,RNH CONVENIENCE LLC.,,,,2027/10/31 04:00:00+00,2025/10/28 04:00:00+00,2025/10/28 04:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20011,551032867,38.95608147,-77.01949059,398310.64,143130.97,,285198,4,ANC 4D,4D02,FOURTH,403,Cluster 18,,,2026/04/03 08:30:25+00,{4E8BF186-F4AD-6B09-E063-782F520A8A93},393123486
,5505 14th STREET N.W WASHINGTON DC 20011 ,,JOSE,HERNANDEZ,G,2022910500,5505 14TH ST NW ,WASHINGTON DC 20011,HERNANDEZ FAMILY INC.,66005861,Y,Grocery Store,HERNANDEZ FAMILY INC.,,,,2026/08/31 04:00:00+00,2024/08/29 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9308,Active,2022910500,WASHINGTON,DC,20011,551009967,38.95685526,-77.03319064,397123.21,143217.21,,254786,4,ANC 4E,4E01,FOURTH,403,Cluster 18,,,2026/04/03 08:30:23+00,{4E8BF186-A690-6B09-E063-782F520A8A93},393103489
,5575 CENTRAL AVENUE  WASHINGTON DC 20019 ,SHAIFUL ISLAM,,,,,5575 CENTRAL AVE SE ,WASHINGTON DC 20019,CENTRAL CONVENIENCE,930825000003,Y,Grocery Store,CENTRAL CONVENIENCE,,,,2026/09/30 04:00:00+00,2024/10/23 04:00:00+00,2024/10/01 04:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20019,551039128,38.8856049,-76.91925276,407005.74,135310.43,,288678,7,ANC 7E,7E06,SIXTH,604,Cluster 33,,,2026/04/03 08:30:26+00,{4E8BF187-09E9-6B09-E063-782F520A8A93},393128922
,5579 CENTRAL AVENUE  WASHINGTON DC 20019 ,GENET Z BISHAW,,,,,5579 CENTRAL AVE SE ,WASHINGTON DC 20019,CENTRAL SPICE,930824000022,Y,Grocery Store,CENTRAL SPICE,,,,2026/08/31 04:00:00+00,2024/09/13 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20019,551039127,38.88558448,-76.91903875,407024.31,135308.18,,302125,7,ANC 7E,7E06,SIXTH,604,Cluster 33,,,2026/04/03 08:30:26+00,{4E8BF187-09E8-6B09-E063-782F520A8A93},393128921
,5608 Broad Branch Ro Washington DC 20015 ,TRACY  STANNARD,,,,,5608 BROAD BRANCH RD NW ,Washington DC ,BROAD BRANCH MARKET,930823000007,Y,Grocery Store,BROAD BRANCH MARKET,,,,2027/01/31 05:00:00+00,2023/02/02 05:00:00+00,2023/02/01 05:00:00+00,Public Health Food Establish,9305,Active,,WASHINGTON,DC,,550971605,38.9655973,-77.06866547,394049.17,144189.41,,263174,3,ANC 3/4G,3/4G05,SECOND,201,Cluster 10,,,2026/04/03 08:30:20+00,{4E8BF186-22D1-6B09-E063-782F520A8A93},393069762
,5774 2ND STREET N.E. WASHINGTON DC 20011 ,,RITA,HARDY,,2029999999,5774 2ND ST NE ,WASHINGTON DC 20011,SEWA INTERNATIONAL INC.,930814000012,Y,Grocery Store,SEWA INTERNATIONAL INC.,,,,2027/12/31 05:00:00+00,2025/11/19 05:00:00+00,2025/01/01 05:00:00+00,Public Health Food Establish,9308,Active,2026354470,WASHINGTON,DC,20011,551009971,38.9591649,-77.00480732,399583.34,143473.09,,288722,4,ANC 4B,4B08,FOURTH,406,Cluster 19,,,2026/04/03 08:30:23+00,{4E8BF186-A694-6B09-E063-782F520A8A93},393103493
,607 KENNEDY ST NW WASHINGTON DC 20011 ,FREDY DONIS,,,,,607 KENNEDY ST NW ,WASHINGTON DC 20011,RAMOS MARKET INC,930824000023,Y,Grocery Store,RAMOS MARKET INC,MARIA,RAMOS,,2028/07/31 04:00:00+00,2024/09/16 04:00:00+00,2024/08/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20011,551003285,38.95659679,-77.02131559,398152.47,143188.21,,246733,4,ANC 4D,4D02,FOURTH,403,Cluster 18,,,2026/04/03 08:30:23+00,{4E8BF186-905C-6B09-E063-782F520A8A93},393097805
,615 DIVISION AVENUE  WASHINGTON DC 20019 ,,AWOL,ISSA,,(240) 505-1318,615 DIVISION AVE NE ,WASHINGTON DC 20019,AYUB INC.,930818000016,Y,Grocery Store,AYUB INC.,,,,2026/08/31 04:00:00+00,2024/08/09 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9101,Active,2405051318,WASHINGTON,DC,20019,551036468,38.89786439,-76.92552537,406460.41,136670.83,,4148,7,ANC 7C,7C06,SIXTH,608,Cluster 31,,,2026/04/03 08:30:26+00,{4E8BF187-00DB-6B09-E063-782F520A8A93},393126604
,6205 GEORGIA AVENUE  WASHINGTON DC 20011 ,C T Corporation System,,,,2025442200,6205 GEORGIA AVE NW ,WASHINGTON DC 20011,BROOK GEORGIA ENTERPRISES LLC.,930817000002,Y,Grocery Store,BROOK GEORGIA ENTERPRISES LLC.,,,,2028/01/31 05:00:00+00,2026/01/08 05:00:00+00,2026/01/08 05:00:00+00,Public Health Food Establish,9308,Active,3013322229,WASHINGTON,DC,20011,550940665,38.96528375,-77.02725269,397638.16,144152.68,,302323,4,ANC 4B,4B05,FOURTH,402,Cluster 17,,,2026/04/03 08:30:18+00,{4E8BF185-B8BC-6B09-E063-782F520A8A93},393042605
,6404 GEORGIA AVENUE  WASHINGTON DC 20012 ,,NORA,CHAVEZ,,(202) 722-7574,6404 GEORGIA AVE NW ,WASHINGTON DC 20012,"NORA, OSCAR INC.",50007869,Y,Grocery Store,"NORA, OSCAR INC.",,,,2026/08/31 04:00:00+00,2024/08/07 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9308,Active,2027227574,WASHINGTON,DC,20012,550959013,38.96776377,-77.02779598,397591.16,144428,,285334,4,ANC 4A,4A04,FOURTH,402,Cluster 17,,,2026/04/03 08:30:19+00,{4E8BF189-43EA-6B09-E063-782F520A8A93},393274843
,6419 GEORGIA AVENUE  WASHINGTON DC 20012 ,,ELIAS,DESTA,,(202) 758-0702,6419 GEORGIA AVE NW ,WASHINGTON DC 20012,EABLAD LLC.,930814000025,Y,Grocery Store,EABLAD LLC.,,,,2028/03/31 04:00:00+00,2026/03/19 04:00:00+00,2026/04/01 04:00:00+00,Public Health Food Establish,9308,Active,2027580702,WASHINGTON,DC,20012,550971678,38.9681158,-77.02705218,397655.63,144467.06,,254024,4,ANC 4B,4B02,FOURTH,402,Cluster 17,,,2026/04/03 08:30:20+00,{4E8BF186-2473-6B09-E063-782F520A8A93},393070180
Suit/Unit# 310B,700 F STREET NE WASHINGTON DC 20002 ,,SOON,LEE,C,2025461639,700 F ST NE ,WASHINGTON DC 20002,DSAY CORPORATION,67002579,Y,Grocery Store,DSAY CORPORATION,,,,2027/04/30 04:00:00+00,2025/05/29 04:00:00+00,2025/05/01 04:00:00+00,Public Health Food Establish,9308,Active,2025469851,WASHINGTON,DC,20002,550967603,38.89754106,-76.99598153,400348.59,136632.31,,279,6,ANC 6A,6A03,FIRST,104,Cluster 25,,,2026/04/03 08:30:19+00,{4E8BF186-168E-6B09-E063-782F520A8A93},393066623
,700 KENNEDY STREET N WASHINGTON DC 20011 ,,JESUS FELIPE,DE' LEON,,(202) 722-8924,700 KENNEDY ST NW ,WASHINGTON DC 20011,,53005379,Y,Grocery Store,,JESUS FELIPE,DE' LEON,,2027/08/31 04:00:00+00,2025/08/01 04:00:00+00,2025/08/01 04:00:00+00,Public Health Food Establish,9308,Active,2027228924,WASHINGTON,DC,20011,550967600,38.95617651,-77.02249458,398050.27,143141.58,,250249,4,ANC 4D,4D03,FOURTH,403,Cluster 18,,,2026/04/03 08:30:19+00,{4E8BF186-168B-6B09-E063-782F520A8A93},393066620
,700 L ST SE WASHINGTON DC 20003 ,PROFESSIONAL CORPORATION SERVICE,,,,2025488000,700 L ST SE ,WASHINGTON DC 20003,"L STREET MARKET, INC",41002411,Y,Grocery Store,"L STREET MARKET, INC",,,,2027/08/31 04:00:00+00,2025/08/06 04:00:00+00,2025/08/01 04:00:00+00,Public Health Food Establish,9308,Active,2025463023,WASHINGTON,DC,20003,551009966,38.87768848,-76.99595314,400351.15,134428.52,,296,8,ANC 8F,8F01,FIRST,106,Cluster 27,Capitol Riverfront BID,,2026/04/03 08:30:23+00,{4E8BF186-A68F-6B09-E063-782F520A8A93},393103488
,705 Kennedy st NW Washington DC 20011 ,MISRAK GEBREHIWOT,,,,,705 KENNEDY ST NW ,WASHINGTON DC 20011,"DC SUSHI,",930824000017,Y,Grocery Store,"DC SUSHI,",,,,2026/07/31 04:00:00+00,2024/08/13 04:00:00+00,2024/08/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20011,550999392,38.95653114,-77.02261076,398040.21,143180.95,,285373,4,ANC 4D,4D03,FOURTH,403,Cluster 18,,,2026/04/03 08:30:22+00,{4E8BF189-A26F-6B09-E063-782F520A8A93},393299040
,725 8th ST SE Washington DC DC 20003 ,MOWZLI SRE MOHAN DASS,,,,,725 8TH ST ,WASHINGTON DC 20003,CASK AND BARREL,930825000033,Y,Grocery Store,CASK AND BARREL,,,,2027/04/30 04:00:00+00,2025/05/27 04:00:00+00,2025/05/01 04:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20003,551006649,38.8803865,-76.99532799,400405.38,134728.06,,151131,6,ANC 6B,6B03,FIRST,106,Cluster 26,Capitol Hill BID,,2026/04/03 08:30:23+00,{4E8BF186-9A33-6B09-E063-782F520A8A93},393100324
4,1133 OWEN PLACE NE WASHINGTON DC 20002 ,,KISHA,LESURE,,,802 H ST NW ,WASHINGTON DC 20001,Newday Tobacco And Grocery LLC,930825000010,Y,Grocery Store,Newday Tobacco And Grocery LLC,,,,2026/10/31 04:00:00+00,2024/12/18 05:00:00+00,2024/11/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20001,551037263,38.89963525,-77.02321144,397986.54,136865.03,,242823,2,ANC 2C,2C01,FIRST,101,Cluster 8,Downtown BID,,2026/04/03 08:30:26+00,{4E8BF187-024F-6B09-E063-782F520A8A93},393126976
,823 UPSHUR STREET N. WASHINGTON DC 20011 ,,TESHOME,CHEKOLE,,(999) 999-9999,823 UPSHUR ST NW ,WASHINGTON DC 20011,,50005776,Y,Grocery Store,,TESHOME,CHEKOLE,,2026/08/31 04:00:00+00,2024/06/12 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9308,Active,9999999999,WASHINGTON,DC,20011,551037243,38.94213351,-77.02428776,397894.43,141582.72,,252465,4,ANC 4C,4C01,FOURTH,407,Cluster 18,,,2026/04/03 08:30:26+00,{4E8BF189-49D3-6B09-E063-782F520A8A93},393276356
,831 KENNEDY STREET N WASHINGTON DC 20011 ,ADANECH GEBREMESKEL,,,,,831 KENNEDY ST NW ,WASHINGTON DC 20011,KENYNUR INC.,930824000024,Y,Grocery Store,KENYNUR INC.,,,,2026/08/31 04:00:00+00,2024/09/16 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20011,551005196,38.95649728,-77.02534475,397803.24,143177.29,,254490,4,ANC 4D,4D01,FOURTH,403,Cluster 18,,,2026/04/03 08:30:23+00,{4E8BF186-955E-6B09-E063-782F520A8A93},393099087
,"7730 EASTERN AVENUE, WASHINGTON DC 20012 ",Abubeker Mohammed,,,,,902 KENNEDY ST NW ,WASHINGTON DC 20011,ABUKEY,930822000011,Y,Grocery Store,ABUKEY,,,,2028/02/28 05:00:00+00,2026/02/20 05:00:00+00,2026/03/01 05:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20011,551039024,38.95610099,-77.02612256,397735.81,143133.28,,285456,4,ANC 4D,4D03,FOURTH,403,Cluster 18,,,2026/04/03 08:30:26+00,{4E8BF187-086A-6B09-E063-782F520A8A93},393128539
,936 RHODE ISLAND AVE WASHINGTON DC 20018 ,ADANECH GEBREMESKEL,,,,,936 RHODE ISLAND AVE NE ,WASHINGTON DC 20018,JS,930821000015,Y,Grocery Store,JS,,,,2027/06/30 04:00:00+00,2025/06/25 04:00:00+00,2025/07/01 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20018,550953453,38.92260905,-76.99271556,400631.68,139415.08,,289090,5,ANC 5B,5B04,FIFTH,504,Cluster 22,,,2026/04/03 08:30:19+00,{4E8BF185-E4B1-6B09-E063-782F520A8A93},393053858
